"","Hard_Coral","Soft_Coral","Bleached_Coral","Population_Bleached","Barramundi Cod","Butterflyfish","Coral Trout","Moray","Grouper","Qld Grouper","Humphead","Bumphead","Parrotfish","Snapper","Sweetlips","Clam","Sea cucumber","Urchins","Anemone","Banded coral shrimp","Trochus","Triton","Lobster","Drupella snail","Crown of Throwns","Coral damage","Coral disease","Unknown coral scar","Drupella scar","COTS scar","Marine debris","HC","SC","BC","RKC","RC","NIA","SP","OT","SI","RB","SD","Location","Date"
"11",68.13,0,5,13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,68.125,0,5,0,15,4.375,0,0,0,3.75,3.75,"Agincourt Reef - Agincourt 3D (Pontoon)",2015-08-29
"12",63.75,0.63,10,6.25,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,37,0,4,5,0,0,63.75,0.625,10,1.875,21.875,0,0,0,0,0.625,1.25,"Agincourt Reef - Agincourt 3D (Pontoon)",2009-03-01
"13",53.75,1.88,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,0,0,1,0,0,0,0,4,2,4,0,0,0,53.75,1.875,0,0.625,24.375,7.5,0.625,2.5,0.625,3.125,5,"Agincourt Reef - Agincourt 3D (Pontoon)",2010-02-06
"14",37.5,1.88,0,0.5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,8,0,10,2,10,4,0,0,37.5,1.875,0,1.25,25.625,13.75,0,1.875,1.875,5,11.25,"Agincourt Reef - Agincourt 3D (Pontoon)",2004-02-13
"15",42.5,1.88,0.63,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,6,0,5,0,0,4,42.5,1.875,0.625,0,33.75,6.875,0,5,0.625,2.5,6.25,"Agincourt Reef - Agincourt 3D (Pontoon)",2005-02-20
"16",57.5,1.25,0,5.75,0,27,0,0,0,0,0,0,16,5,0,10,0,0,0,0,0,0,0,0,0,46,4,9,0,0,0,57.5,1.25,0,0,26.25,10.625,0,0,0,0.625,3.75,"Agincourt Reef - Agincourt 3D (Pontoon)",2012-06-24
"17",63.75,2.5,1.88,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,1,0,0,0,0,21,12,11,0,0,0,63.75,2.5,1.875,0,19.375,4.375,0,1.875,0.625,0.625,5,"Agincourt Reef - Agincourt 3D (Pontoon)",2013-08-25
"18",55.63,0.63,0,5,0,9,4,0,2,0,0,0,4,2,0,13,0,0,0,0,0,0,0,0,0,14,11,1,0,0,0,55.625,0.625,0,16.875,23.125,0,1.25,0.625,0,1.25,0.625,"Agincourt Reef - Agincourt 3D (Pontoon)",2011-03-27
"19",63.13,3.13,0,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.125,3.125,0,0,17.5,3.75,0,0,0,10.625,1.875,"Agincourt Reef - Agincourt 3D (Pontoon)",2015-08-29
"20",54.37,1.88,1.25,0,0,38,4,0,1,0,0,0,14,0,0,21,0,0,0,0,1,0,0,0,0,14,0,5,2,5,0,54.375,1.875,1.25,0,27.5,9.375,0.625,0,0,1.875,3.125,"Agincourt Reef - Agincourt 3D (Pontoon)",2006-05-29
"21",50,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,18,0,4,0,0,4,50,0,0,0.625,23.125,23.125,0,0.625,0,0.625,1.875,"Agincourt Reef - Agincourt 3D (Pontoon)",2004-02-12
"22",45.63,3.75,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.625,3.75,0.625,0,26.875,2.5,0,4.375,1.25,3.75,11.25,"Agincourt Reef - Agincourt 3D (Pontoon)",2005-02-19
"23",32.5,10.63,0.63,0,0,28,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,2,0,6,1,5,0,0,0,32.5,10.625,0.625,0,38.125,5,1.875,6.25,5,0,0,"Agincourt Reef - Anybody's",2009-03-22
"24",33.13,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,33.125,5,0,0,18.75,5,0.625,0.625,0,6.875,30,"Agincourt Reef - Barracuda Bommie",2003-03-26
"25",48.13,5,0.63,0,0,31,0,0,0,0,0,0,20,0,0,16,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,48.125,5,0.625,1.875,26.875,1.875,0.625,0.625,0.625,1.875,11.875,"Agincourt Reef - Barracuda Bommie",2007-03-31
"26",55,3.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,3.75,0,0,23.75,0.625,0.625,1.25,0.625,1.875,12.5,"Agincourt Reef - End of the World",2005-03-20
"27",51.25,4.38,0,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.25,4.375,0,1.25,3.75,23.125,1.875,0.625,6.875,1.25,5.625,"Agincourt Reef - End of the World",2002-04-23
"28",43.75,2.5,0,13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,43.75,2.5,0,3.75,24.375,18.75,0,0,0,4.375,2.5,"Agincourt Reef - Harry's Bommie",2003-04-02
"29",63.75,0,2.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,3,1,9,3,0,0,63.75,0,2.5,0.625,26.25,1.875,0.625,0.625,0.625,1.875,1.25,"Agincourt Reef - Harry's Bommie",2009-03-21
"30",34.38,3.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,34.375,3.125,0,0.625,16.25,29.375,0.625,1.875,0,5,8.75,"Agincourt Reef - Phil's Reef",2003-04-01
"31",60,1.88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,60,1.875,0,0,28.75,2.5,0,0,0.625,0,6.25,"Agincourt Reef - Phil's Reef",2008-05-04
"32",42.5,0,0,0,0,14,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,42.5,0,0,0,2.5,36.25,3.125,8.125,1.25,0.625,5.625,"Agincourt Reef - Phil's Reef",2010-02-21
"33",61.88,3.13,4.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,5,0,8,2,4,2,0,0,61.875,3.125,4.375,1.25,22.5,1.875,0,2.5,0,1.25,1.25,"Agincourt Reef - Phil's Reef",2009-02-28
"34",81.25,0,1.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,5,0,0,2,0,3,3,3,0,0,0,81.25,0,1.25,0,13.75,0,0,0.625,0,2.5,0.625,"Agincourt Reef - Phil's Reef",2009-03-22
"35",58.13,5.63,0,0,0,20,1,0,0,0,0,0,24,0,0,6,2,0,0,0,0,0,0,1,0,20,1,8,1,0,0,58.125,5.625,0,0.625,26.875,1.875,0.625,2.5,1.25,0,2.5,"Agincourt Reef - Playground",2007-05-13
"36",53.75,3.13,0,0.25,0,36,0,0,1,0,0,0,14,0,2,3,1,0,0,0,0,0,0,5,0,8,1,0,3,0,0,53.75,3.125,0,2.5,28.75,4.375,5.625,1.875,0,0,0,"Agincourt Reef - Playground",2006-05-27
"37",36.88,16.25,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,36.875,16.25,0,0,21.25,0,0,0,0,11.25,14.375,"Agincourt Reef - The Point",2008-05-04
"38",45,1.25,8.13,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,45,1.25,8.125,0,21.875,1.875,0,1.25,6.25,7.5,6.875,"Agincourt Reef - The Point",2004-03-14
"39",66.25,0,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.25,0,0.625,0,20,3.125,1.25,3.125,0,0.625,5,"Agincourt Reef - The Point",2005-03-20
"40",63.13,1.25,3.13,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,63.125,1.25,3.125,0.625,22.5,1.25,0.625,0.625,1.25,2.5,3.125,"Agincourt Reef - The Point",2009-03-21
"41",52.5,5.63,0,5,0,37,0,0,1,0,0,0,11,2,9,47,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,52.5,5.625,0,0,23.125,6.25,1.25,4.375,0,1.25,5.625,"Agincourt Reef - The Point",2007-03-31
"42",50,10,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,50,10,2.5,0,16.875,0.625,1.25,1.25,13.75,0.625,3.125,"Agincourt Reef - Turtle Bay",2009-04-12
"43",36.25,0,0,0.25,0,14,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,36.25,0,0,0,14.375,15,4.375,1.25,8.125,1.875,18.75,"Agincourt Reef - Turtle Bay",2010-02-21
"44",0.63,0,0,12.5,0,2,0,0,0,0,0,0,0,0,1,0,0,13,4,1,0,0,0,0,0,0,0,0,0,0,42,0.625,0,0,0,9.375,0,0,0,0.625,0,89.375,"Amity Point - Amity Point",2020-03-01
"45",0.63,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,19,0.625,0,0,0,15.625,0,0,0,8.125,0,75.625,"Amity Point - Amity Point",2021-03-06
"46",0,0.63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0.625,0,0,15.625,0,3.75,3.75,1.875,1.875,72.5,"Amity Point - Amity Point",2016-03-12
"47",2.5,0.63,0,0,0,28,0,1,0,0,0,0,0,3,0,1,0,49,0,1,0,0,0,0,0,13,0,5,0,0,30,2.5,0.625,0,0,24.375,0,2.5,0,6.875,0,63.125,"Amity Point - Amity Point",2018-11-25
"48",6.88,0,0,37.5,0,22,0,3,0,0,0,0,0,24,3,0,0,64,1,2,0,0,2,5,0,5,2,3,1,0,50,6.875,0,0,0,45,0,0.625,0,11.875,4.375,31.25,"Amity Point - Amity Point",2020-03-01
"49",6.25,1.25,0.63,0,0,25,0,2,0,0,0,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,38,6.25,1.25,0.625,0,42.5,0,0,0,25.625,8.75,15,"Amity Point - Amity Point",2021-03-06
"50",3.13,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,15,5,2,0,0,0,0,0,0,0,0,0,0,28,3.125,0,0,1.25,15.625,0,0,1.25,0,4.375,25,"Amity Point - Amity Point",2019-06-08
"51",3.75,3.13,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,108,0,0,0,0,0,0,0,2,0,2,0,0,22,3.75,3.125,0,0,25,0,1.875,5.625,0,0.625,60,"Amity Point - Amity Point",2016-09-17
"52",5.63,2.5,0,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,109,0,0,0,0,0,0,0,11,0,0,0,0,34,5.625,2.5,0,0,49.375,0,3.75,0,0,2.5,36.25,"Amity Point - Amity Point",2017-11-25
"53",18.75,8.13,4.38,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,0,0,0,1,0,0,1,0,25,22,0,0,0,0,18.75,8.125,4.375,1.875,44.375,11.875,0.625,4.375,0,4.375,1.25,"Bait Reef - Banjoras Pond",2017-08-07
"54",31.25,8.13,5,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,0,0,0,0,4,1,22,5,7,1,1,0,31.25,8.125,5,0.625,26.875,2.5,1.25,23.125,0,1.25,0,"Bait Reef - Garys Inlet",2016-05-28
"55",31.87,10.63,0,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,1,0,8,1,4,0,0,0,31.875,10.625,0,0,44.375,2.5,8.125,2.5,0,0,0,"Bait Reef - Garys South Wall",2017-08-07
"56",28.75,17.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,17,0,3,0,0,0,1,22,0,0,0,0,0,28.75,17.5,0,0,43.125,6.25,1.875,1.875,0.625,0,0,"Bait Reef - Garys South Wall",2018-04-28
"57",30.63,11.88,2.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,0,5,0,0,2,0,14,5,6,0,0,0,30.625,11.875,2.5,0,31.875,3.125,6.875,12.5,0,0,0.625,"Bait Reef - Garys South Wall",2016-05-28
"58",63.75,6.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75,6.25,0,0,15.625,5.625,1.875,3.75,0,3.125,0,"Bait Reef - The Clusters",2003-04-30
"59",18.75,2.5,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,18.75,2.5,0,1.25,23.75,15.625,0.625,1.875,7.5,6.25,21.875,"Bait Reef - The Trench",2003-04-30
"60",2.5,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2.5,50,0,0,1.25,2.5,2.5,1.25,12.5,0,27.5,"Barolin Rocks Reef - Barolin Rocks (Woongarra Marine Park)",2003-07-07
"61",1.25,38.75,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,5,0,0,0,1,39,0,0,0,6,0,0,26,1.25,38.75,0,0.625,33.75,5,5.625,6.25,8.125,0,0.625,"Barolin Rocks Reef - Barolin Rocks (Woongarra Marine Park)",2013-08-10
"62",5.63,58.13,0.63,1.25,0,2,0,2,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,4,0,5,2,1,0,0,0,5.625,58.125,0.625,0,15.625,0,0,0,12.5,0,7.5,"Barolin Rocks Reef - Barolin Rocks (Woongarra Marine Park)",2017-06-16
"63",1.88,30,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.875,30,0,0,24.375,1.25,0,1.25,0,0,41.25,"Barolin Rocks Reef - Barolin Rocks (Woongarra Marine Park)",2012-08-18
"64",2.5,51.88,2.5,1.75,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,3,2.5,51.875,2.5,0,25.625,1.875,1.25,1.25,0,0,13.125,"Barolin Rocks Reef - Barolin Rocks (Woongarra Marine Park)",2014-08-31
"65",28.13,15,0.63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,28.125,15,0.625,0,1.25,1.25,5,0,10,8.125,30.625,"Big Woody Island - Big Woody Conservation Park Zone",2012-08-20
"66",20.63,8.75,2.5,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,20.625,8.75,2.5,1.25,20,0,0,0.625,3.125,15,28.125,"Big Woody Island - Big Woody Conservation Park Zone",2013-08-12
"67",40,14.37,2.5,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,40,14.375,2.5,1.25,23.125,0,1.25,0,0.625,5,11.875,"Big Woody Island - Big Woody Conservation Park Zone",2017-06-18
"68",54.37,4.38,1.25,1.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,6,54.375,4.375,1.25,0,11.875,0,0,1.875,8.75,8.125,9.375,"Big Woody Island - Big Woody Conservation Park Zone",2014-08-30
"69",19.38,11.88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,19.375,11.875,0,0.625,8.75,29.375,0,0,0,6.25,23.75,"Briggs Reef - Briggs Reef",2003-03-13
"70",40.63,10,3.13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.625,10,3.125,0,31.25,0,0,1.25,5.625,1.25,6.875,"Briggs Reef - Fish Bowl",2008-03-30
"71",0,0.63,0,0,0,20,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,115,0,0.625,0,0,58.125,0,5.625,0,22.5,13.125,0,"Bulcock Beach - Boardwalk",2019-02-01
"72",0,0,0,0,0,13,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,161,0,0,0,0,50.625,21.25,26.25,0,1.25,0,0.625,"Bulcock Beach - Boardwalk",2020-10-02
"73",0.63,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,100,0.625,0,0,0,1.875,11.25,7.5,5,42.5,22.5,8.75,"Bulcock Beach - Boardwalk",2018-02-11
"74",0,0,0,0,0,12,0,0,0,0,0,0,0,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,24.375,0,9.375,22.5,0,16.25,27.5,"Bulcock Beach - Boardwalk",2020-02-21
"75",3.75,19.38,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,0,0,0,2,6,0,1,0,3,2,0,0,3.75,19.375,0,0,20.625,1.875,8.125,18.125,3.125,0,25,"Burkitts Reef - Burkitts Reef",2013-08-10
"76",0.63,28.13,0,0.25,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0.625,28.125,0,0,51.25,0,3.75,5,0,0,11.25,"Burkitts Reef - Burkitts Reef",2017-06-16
"77",5,40.63,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,40.625,0,0,21.875,6.25,11.25,8.125,0,0.625,6.25,"Burkitts Reef - Burkitts Reef",2012-08-19
"78",2.5,16.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,30,0,0,2,4,0,0,0,2.5,16.875,0,0,48.125,4.375,3.125,10.625,0,1.25,13.125,"Burkitts Reef - Burkitts Reef",2014-08-31
"79",19.38,0.63,0,0.25,0,9,0,0,2,0,0,0,17,1,11,0,0,106,43,0,0,0,0,17,0,7,5,10,1,0,0,19.375,0.625,0,0.625,75.625,0,1.875,1.875,0,0,0,"Cook Island - Cook Island",2021-07-19
"80",26.88,1.25,0,11.75,0,0,0,0,0,0,0,0,5,1,1,0,0,97,88,1,0,0,0,0,0,5,2,4,0,0,0,26.875,1.25,0,0,65,0,5.625,0,0,0,1.25,"Cook Island - Cook Island",2019-07-20
"81",27.5,21.25,0.63,6.75,0,4,0,1,0,0,0,0,10,0,3,1,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,27.5,21.25,0.625,0,45,3.125,0,1.875,0,0,0.625,"Currimundi Reef - Currimundi Reef",2018-01-06
"82",33.13,13.75,0,0.5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,1,5,0,0,0,33.125,13.75,0,0,46.875,0.625,0,4.375,0,0.625,0.625,"Currimundi Reef - Currimundi Reef",2016-05-07
"83",29.38,22.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,0,0,0,2,0,0,5,0,6,0,0,0,29.375,22.5,0,0,29.375,5.625,1.875,5.625,0,0.625,5,"Currimundi Reef - Currimundi Reef",2012-12-08
"84",31.87,8.13,0,0,0,2,0,1,1,0,0,0,1,7,2,0,0,0,15,0,0,1,1,1,0,0,0,3,1,0,0,31.875,8.125,0,0,33.75,0,3.125,11.875,0,0,11.25,"Currimundi Reef - Currimundi Reef",2014-02-08
"85",22.5,15,0,10,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,22.5,15,0,0,53.75,0,0.625,3.125,1.25,0,3.75,"Currimundi Reef - Currimundi Reef",2012-01-08
"86",27.5,8.75,0.63,1,0,17,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,0,1,0,2,0,0,27.5,8.75,0.625,0,57.5,0,0.625,1.25,0,0,3.75,"Currimundi Reef - Currimundi Reef",2019-03-09
"87",29.38,14.37,0,0.75,0,9,0,0,0,0,0,0,0,7,5,0,0,0,1,0,0,0,0,0,0,0,5,6,0,0,0,29.375,14.375,0,0,50,0,0,0,0,0,6.25,"Currimundi Reef - Currimundi Reef",2020-05-09
"88",20.63,21.25,0,3.25,0,6,0,0,0,0,0,0,0,5,2,1,0,0,8,0,1,3,0,0,0,2,0,17,0,0,0,20.625,21.25,0,0,40,0,1.25,3.75,0,0,13.125,"Currimundi Reef - Currimundi Reef",2016-03-11
"89",25.62,23.75,0,1,0,14,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,5,0,0,0,0,0,0,1,25.625,23.75,0,0,44.375,0,1.25,3.75,0,0,1.25,"Currimundi Reef - Currimundi Reef",2021-08-12
"90",17.5,23.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3,0,0,6,1,3,0,0,17.5,23.125,0,0,45.625,0,8.125,0.625,0.625,3.125,1.25,"Currimundi Reef - Currimundi Reef",2009-12-20
"91",41.25,3.75,1.25,1,0,6,0,0,0,0,0,0,0,2,2,0,0,0,11,0,1,0,0,2,0,0,0,4,0,0,0,41.25,3.75,1.25,0,49.375,0,3.125,0.625,0,0.625,0,"Currimundi Reef - Currimundi Reef",2014-12-21
"92",33.75,8.75,0,0.25,0,14,0,0,0,0,0,0,0,6,4,1,0,0,2,0,1,0,0,0,0,2,3,8,0,0,0,33.75,8.75,0,0,32.5,5,2.5,13.75,0,1.25,2.5,"Currimundi Reef - Currimundi Reef",2017-01-28
"93",23.13,4.38,0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,12,0,1,0,0,0,0,0,0,3,0,0,0,23.125,4.375,0,0,56.875,1.25,0.625,1.25,0,6.875,5.625,"Currimundi Reef - Currimundi Reef",2018-01-06
"94",25,10,0,0.5,0,2,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,1,25,10,0,0,33.75,3.75,0.625,10,0,7.5,9.375,"Currimundi Reef - Currimundi Reef",2016-05-07
"95",34.38,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,3,0,2,0,1,34.375,8.125,0,0,40,5,0.625,3.125,0,0,8.75,"Currimundi Reef - Currimundi Reef",2012-12-08
"96",45,6.25,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,1,3,0,0,1,45,6.25,0,0,32.5,2.5,1.25,9.375,0,0.625,2.5,"Currimundi Reef - Currimundi Reef",2014-02-08
"97",25,6.88,0.63,6.25,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,2,25,6.875,0.625,0,57.5,0,0.625,2.5,0,1.875,5,"Currimundi Reef - Currimundi Reef",2012-01-08
